Country,Currency,Currency Name,Capital,latitude,longitude
Afghanistan,AFN,Afghani,Kabul,34.52183,69.17233
Albania,ALL,Lek,Tirana,41.3275,19.81889
Algeria,DZD,Algerian Dinar,Algiers,36.7525,3.04197
Angola,AOA,Kwanza,Luanda,-8.83682,13.23432
Antigua and Barbuda,XCD,East Caribbean Dollar,Saint John's,17.11717,-61.84573
Argentina,ARS,Argentine Peso,Buenos Aires,-34.61315,-58.37723
Armenia,AMD,Armenian Dram,Yerevan,40.18111,44.51361
Aruba,AWG,Aruban Florin,Oranjestad,12.52398,-70.02703
Australia,AUD,Australian Dollar,Canberra,-35.28346,149.12807
Austria,EUR,Euro,Vienna,48.20849,16.37208
Azerbaijan,AZN,Azerbaijanian Manat,Baku,40.37767,49.89201
Bahrain,BHD,Bahraini Dinar,Manama,26.21536,50.5832
Bangladesh,BDT,Taka,Dhaka,23.7104,90.40744
Barbados,BBD,Barbados Dollar,Bridgetown,13.1,-59.61667
Belarus,BYR,Belarussian Ruble,Minsk,53.9,27.56667
Belgium,EUR,Euro,Brussels,50.85045,4.34878
Belize,BZD,Belize Dollar,Belmopan,17.25,-88.76667
Benin,XOF,CFA Franc BCEAO,Porto-Novo,6.49646,2.60359
Bermuda,BMD,Bermudian Dollar,Hamilton,32.2949,-64.78303
Bhutan,INR,Indian Rupee,Thimphu,27.46609,89.64191
Bosnia and Herzegovina,BAM,Convertible Mark,Sarajevo,43.84864,18.35644
Botswana,BWP,Pula,Gaborone,-24.65451,25.90859
Brazil,BRL,Brazilian Real,Brasilia,-15.77972,-47.92972
Brunei Darussalam,BND,Brunei Dollar,Bandar Seri Begawan,4.94029,114.94806
Bulgaria,BGN,Bulgarian Lev,Sofia,42.69751,23.32415
Burkina Faso,XOF,CFA Franc BCEAO,Ouagadougou,12.36566,-1.53388
Burundi,BIF,Burundi Franc,Bujumbura,-3.3822,29.3644
Cambodia,KHR,Riel,Phnom Penh,11.56245,104.91601
Cameroon,XAF,CFA Franc BEAC,Yaounde,3.86667,11.51667
Canada,CAD,Canadian Dollar,Ottawa,45.41117,-75.69812
Cayman Islands,KYD,Cayman Islands Dollar,George Town,19.2866,-81.37436
Central African Republic,XAF,CFA Franc BEAC,Bangui,4.36122,18.55496
Chad,XAF,CFA Franc BEAC,N'Djamena,12.10672,15.0444
Chile,CLP,Chilean Peso,Santiago,-33.45694,-70.64827
China,CNY,Yuan Renminbi,Beijing,39.9075,116.39723
Colombia,COP,Colombian Peso,Bogota,4.60971,-74.08175
Comoros,KMF,Comoro Franc,Moroni,-11.70216,43.25506
Costa Rica,CRC,Costa Rican Colon,San Jose,9.93333,-84.08333
Croatia,HRK,Croatian Kuna,Zagreb,45.81444,15.97798
Cyprus,EUR,Euro,Nicosia,35.16667,33.36667
Czech Republic,CZK,Czech Koruna,Prague,50.08804,14.42076
Denmark,DKK,Danish Krone,Copenhagen,55.67594,12.56553
Djibouti,DJF,Djibouti Franc,Djibouti,11.58901,43.14503
Dominica,XCD,East Caribbean Dollar,Roseau,15.30174,-61.38808
Dominican Republic,DOP,Dominican Peso,Santo Domingo,18.50012,-69.98857
Ecuador,USD,US Dollar,Quito,-0.22985,-78.52495
El Salvador,USD,US Dollar,San Salvador,13.68935,-89.18718
Equatorial Guinea,XAF,CFA Franc BEAC,Malabo,3.75,8.78333
Eritrea,ERN,Nakfa,Asmara,15.33805,38.93184
Estonia,EUR,Euro,Tallinn,59.43696,24.75353
Ethiopia,ETB,Ethiopian Birr,Addis Ababa,9.02497,38.74689
Fiji,FJD,Fiji Dollar,Suva,-18.14161,178.44149
Finland,EUR,Euro,Helsinki,60.16952,24.93545
France,EUR,Euro,Paris,48.85341,2.3488
Gabon,XAF,CFA Franc BEAC,Libreville,0.39241,9.45356
Georgia,GEL,Lari,Tbilisi,41.69411,44.83368
Germany,EUR,Euro,Berlin,52.52437,13.41053
Ghana,GHS,Ghana Cedi,Accra,5.55602,-0.1969
Greece,EUR,Euro,Athens,37.97945,23.71622
Grenada,XCD,East Caribbean Dollar,Saint George's,12.05644,-61.74849
Guatemala,GTQ,Quetzal,Guatemala City,14.64072,-90.51327
Guinea,GNF,Guinea Franc,Conakry,9.53795,-13.67729
Guinea-Bissau,XOF,CFA Franc BCEAO,Bissau,11.86357,-15.59767
Guyana,GYD,Guyana Dollar,Georgetown,6.80448,-58.15527
Haiti,USD,US Dollar,Port-au-Prince,18.53917,-72.335
Honduras,HNL,Lempira,Tegucigalpa,14.0818,-87.20681
Hungary,HUF,Forint,Budapest,47.49801,19.03991
Iceland,ISK,Iceland Krona,Reykjavik,64.13548,-21.89541
India,INR,Indian Rupee,New Delhi,28.65381,77.22897
Indonesia,IDR,Rupiah,Jakarta,-6.21462,106.84513
Iraq,IQD,Iraqi Dinar,Baghdad,33.34058,44.40088
Ireland,EUR,Euro,Dublin,53.33306,-6.24889
